brand,sector,product_category,top_competitor,generic_query_en,generic_query_fr,generic_query_fr_2,generic_query_fr_3,product_url_en,product_url_fr,contact_name,contact_role,contact_linkedin
SSENSE,fashion/retail,luxury designer winter coat,Farfetch,best luxury designer winter coat Montreal,où acheter un manteau de luxe à Montréal,boutique en ligne mode haut de gamme Montréal,meilleurs manteaux griffés hiver Montréal,https://www.ssense.com/en-ca/men/jackets-coats,https://www.ssense.com/fr-ca/men/jackets-coats,Haein Dorin,Global Head of Marketing,
Arc'teryx,outerwear,technical Gore-Tex waterproof jacket,The North Face,best technical Gore-Tex jacket Montreal,meilleur manteau imperméable pour la pluie et la neige Montréal,manteau de plein air technique pour l'hiver québécois,veste imperméable respirante pour randonnée Québec,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,https://arcteryx.com/ca/fr/shop/mens/beta-ar-jacket,George Weetman,SVP Global Digital Commerce,https://ca.linkedin.com/in/georgeweetman
Mackage,outerwear,luxury winter down coat,Canada Goose,best luxury winter down coat Montreal,manteau d'hiver en duvet chic Montréal,meilleur manteau haut de gamme pour le froid à Montréal,manteau de luxe avec fourrure pour l'hiver québécois,https://www.mackage.com/products/edward-nfr,https://www.mackage.com/ca/fr/edward-manteau-en-duvet-avec-plastron-et-fourrure-naturelle-amovible/EDWARD-F.html,Kelly Cochrane,Global Director eCommerce,https://ca.linkedin.com/in/kellycochrane
Moose Knuckles,outerwear,premium Canadian down parka,Canada Goose,best premium Canadian down parka,parka canadien le plus chaud pour l'hiver,meilleur manteau en duvet fait au Canada,quel parka acheter pour le froid extrême au Québec,https://www.mooseknucklescanada.com/en-us/products/everest-puffer-3q-jacket-m35mj146-292,https://www.mooseknucklescanada.com/fr/skowman-parka-m39mp298,Ian Bertrand,VP Global Marketing,https://www.linkedin.com/in/ian-bertrand/
Kanuk,outerwear,Montreal-made winter coat,Quartz Co,best Montreal-made winter coat,manteau d'hiver fait au Québec,meilleur manteau fabriqué à Montréal pour le froid,manteau québécois chaud et durable,https://kanuk.com/en-us/products/women-jacket-cambridge-jet-black,https://kanuk.com/products/manteau-hiver-femme-laurier-noir-jais,Véronique Blais,Directrice Marketing,https://ca.linkedin.com/in/v%C3%A9ronique-blais-7052b23a
Rudsak,outerwear,leather winter outerwear,Mackage,best leather winter jacket Montreal,manteau de cuir pour l'hiver Montréal,où trouver un manteau en cuir chaud à Montréal,veste de cuir doublée pour le froid québécois,https://rudsak.com/products/avril-8124561-black,https://rudsak.com/fr/collections/womens-leather-puffers-parkas,Marie-Josée Gagné,Senior Director Marketing & E-commerce,https://www.linkedin.com/in/marie-jos%C3%A9e-gagn%C3%A9-03940229/
Nicole Benisti,outerwear,luxury women winter coat,Mackage,best luxury women winter coat Montreal,manteau d'hiver pour femme haut de gamme Montréal,meilleur manteau chic pour femme à Montréal,manteau de luxe femme pour l'hiver québécois,https://nicolebenisti.com/products/montague-satin-puffer-jacket,https://nicolebenisti.com/fr-ca/products/veste-en-cachemire-matignon,Andrew Boosamra,VP Operations,https://www.linkedin.com/in/andrew-boosamra-96a2912a/
Groupe Dynamite,fashion/retail,fast fashion coat and jacket,Zara,best affordable fashion jacket Montreal,vêtements tendance pas cher à Montréal,où magasiner des manteaux à la mode à bon prix Montréal,boutique de vêtements abordables et branchés Montréal,https://www.dynamiteclothing.com/ca/d/clothing/coats-jackets/,https://www.dynamiteclothing.com/fr-ca/d/nouveautes/manteaux-blousons/,Michael Bliah,VP eCommerce,https://ca.linkedin.com/in/michaelbliah
Aldo Group,footwear,stylish boots and shoes,Steve Madden,best boots and shoes Montreal,bottes à la mode Montréal,où acheter des chaussures tendance à Montréal,meilleures bottes pour femme Montréal,https://www.aldoshoes.com/collections/boots,https://www.aldoshoes.com/ca/fr/bottes,Amelie Provost,Senior Director Brand & Marketing,https://www.linkedin.com/in/am%C3%A9lie-provost-30aa6315/
La Canadienne,footwear,waterproof winter boots,Blundstone,best waterproof winter boots Montreal,bottes imperméables pour l'hiver à Montréal,meilleures bottes chaudes et étanches pour la sloche,bottes d'hiver qui gardent les pieds au sec Québec,https://lacanadienneshoes.com/collections/city-dry,https://lacanadienneshoes.com/fr/collections/rain-boots,,CEO Nicholas Niro,
Frank Lyman,fashion,women designer fashion,Joseph Ribkoff,best women designer fashion Montreal,vêtements chics pour femmes à Montréal,mode québécoise haut de gamme pour femmes,où trouver des robes de créateur à Montréal,https://franklyman.com/en/products,https://franklyman.com/produits,Patrick Lyman,Vice President,https://www.linkedin.com/in/patricklyman/
Lululemon,activewear,technical athletic jacket,Nike,best technical athletic jacket Montreal,veste de sport technique pour l'entraînement Montréal,meilleur manteau de course à pied pour l'hiver Québec,vêtements de sport performants à Montréal,https://shop.lululemon.com/c/women-coats-and-jackets/n1p54j,https://www.lululemon.fr/fr-fr/c/femmes/vestes-et-manteaux/temps-froid,Nick Engel,SVP Digital,https://www.linkedin.com/in/nick-engel-316352b/
Sentaler,outerwear,luxury alpaca winter coat,Max Mara,best luxury alpaca coat Canada,manteau en alpaga de luxe au Canada,meilleur manteau chaud et élégant en laine d'alpaga,manteau haut de gamme en fibres naturelles pour l'hiver,https://sentaler.com/collections/womens-coats,,Bojana Sentaler,President Founder & Creative Director,https://ca.linkedin.com/in/bojana-sentaler-85a42b6
Cirque du Soleil,entertainment,live entertainment show,Blue Man Group,best live entertainment show Montreal,spectacle à voir absolument à Montréal,meilleur spectacle en salle à Montréal,sortie en famille spectacle Montréal,https://www.cirquedusoleil.com/shows,https://www.cirquedusoleil.com/fr/fr/home/spectacles,,,,
BRP,powersports,snowmobile and powersports vehicle,Polaris,best snowmobile brand Canada,meilleure motoneige pour le Québec,quelle motoneige acheter au Québec,comparaison de motoneiges pour les sentiers du Québec,https://ski-doo.brp.com/us/en/models.html,https://ski-doo.brp.com/ca/fr/,Josée Perreault,Chief Marketing Officer,https://www.linkedin.com/in/perreaultjosee/
